UA,Lat,Long,anom_lst_mean,anom_ndvi_mean,anom_prec_mean,anom_rad_mean,anom_umid_mean
1,-29.249849,-50.129826,1.0581668027027717,0.006960455486541783,0.5408783000000001,0.429336965125124,-1.1114824843792377
4,-29.159473,-49.952371,1.0918801519738892,0.0015550724637686253,0.2926019999999996,0.4526351848841603,-1.0417473910916186
10,-29.070014,-49.86003,0.9595800906318743,0.015726086956521668,0.04450140000000058,0.47354149773388343,-0.9613698319445518
15,-28.979503,-49.859074,0.9750759334934003,0.0011799171842646894,-0.17158100000000065,0.4847866486867396,-1.1366093693364974
21,-28.89,-49.860002,0.684220877226597,0.007118840579710239,-0.16288500000000017,0.5032776844425442,-1.2645934066841136
23,-28.894572,-49.680557,0.8820484985896435,0.004951552795031122,-0.2736889999999992,0.48390177436900217,-0.9080971914895741
28,-28.800001,-49.86001,0.7251942683285826,0.012695238095238204,-0.1341467000000005,0.526124431264444,-1.3707988721854463
30,-28.79995,-49.68009,0.771195281174375,0.005276190476190656,-0.28936399999999995,0.5050910210708093,-1.149089295833818
37,-28.710079,-49.77012,0.7888484882544375,0.01793105590062094,-0.36646849999999986,0.5362717963532795,-1.3696257409326478
39,-28.70792,-49.588646,0.8151254734379876,0.013102691511387543,-0.3542170000000002,0.5026929849977684,-1.3209470202643416
40,-28.710759,-49.499466,0.8444493153588866,0.010496273291925262,-0.4565520000000003,0.4876516742468251,-1.4718812086477726
41,-28.709167,-49.409071,1.276200500944384,-0.012821325051760035,-0.5231980000000007,0.4779376573196661,-1.6787270522593474
47,-28.619987,-49.59011,0.8778130300065001,0.005852173913043712,-0.29553079999999987,0.5228745321390651,-1.4841724068928244
49,-28.621879,-49.408916,1.0650248334627577,-0.0010861283643895936,-0.49331380000000014,0.493480734966683,-1.7861502961192173
50,-28.617853,-49.315469,1.0709116133131005,0.0007383022774327674,-0.4998760999999998,0.46047092398852385,-1.839121000458178
51,-28.6193,-49.232084,0.9313337517107385,0.006527536231884512,-0.4998760999999998,0.46047092398852385,-1.839121000458178
58,-28.529238,-49.497344,0.8052128132058485,0.008626915113871925,-0.3622961,0.5180803138742185,-1.7420489662716676
59,-28.526374,-49.412979,0.7660924491094185,0.008029606625258645,-0.4028337000000004,0.5001856318925437,-1.8960911228283521
69,-28.43901,-49.947676,0.9260543897311813,0.02565921325051801,0.08369439999999972,0.5379631675346825,-1.4556642528023787
70,-28.437969,-49.858788,1.1740527926594275,0.0070428571428574616,-0.043537999999999855,0.5433372235340279,-1.446658749193233
74,-28.443679,-49.498729,1.0692852932508217,0.018881159420289673,-0.38203560000000003,0.5180803138742185,-1.7420489662716676
77,-28.440231,-49.229925,1.0709780663261093,0.01163954451345739,-0.4433750000000005,0.47942091458383373,-2.097026568550916
81,-28.440008,-48.870006,0.7973013649425056,0.01536583850931672,-0.35861000000000054,0.40743254714968025,-1.5181615458031956
85,-28.3502,-50.400054,0.3765081967212751,0.062327950310559044,0.4836830000000001,0.4990924661219758,-1.200926508963704
87,-28.35029,-50.221382,0.7364863318108341,0.022736645962732838,0.3201697000000001,0.507106865060825,-1.265690268950678
89,-28.348379,-50.040497,1.0452501473882734,0.015436853002070317,0.29692900000000044,0.512328580240796,-1.265954282798205
95,-28.350039,-49.499967,1.0696455870720243,0.04251966873706037,-0.21726230000000069,0.5097915878833081,-1.6644215864378253
97,-28.348173,-49.319101,1.0252539527943654,0.012417391304347603,-0.23663800000000013,0.47219229820331243,-2.020776533772505
98,-28.352694,-49.231971,1.0497841806528783,0.009268530020704158,-0.27234669999999994,0.47219229820331243,-2.020776533772505
104,-28.260212,-50.670125,0.6504591002137694,0.02171552795031062,0.7524815,0.4844514559519322,-1.2454629703567548
113,-28.260661,-49.86161,0.8320912478680391,0.022449068322981325,0.09715359999999951,0.5001867840288448,-1.2554484600982931
114,-28.260536,-49.76909,0.8449543939032971,0.019843685300206637,0.049475600000000064,0.5125641043881064,-1.2281914817927628
117,-28.260198,-49.499514,0.611914458391464,0.04764658385093179,-0.07723239999999976,0.4997392869935986,-1.4958865571873048
118,-28.259786,-49.411941,0.7557920423430708,0.023030848861283593,-0.09505559999999935,0.4871057852121723,-1.5861046017288913
119,-28.260778,-49.319129,0.8521117124364359,0.013522567287784781,-0.12434040000000035,0.46871179094887516,-1.8629403761066072
122,-28.259529,-49.049247,0.9502601491300702,0.006600621118012184,-0.2214077999999997,0.43520136499219575,-2.5175292366181594
123,-28.262477,-48.959494,1.055043640897761,0.01375693581780546,-0.23188350000000035,0.42586580586943334,-2.2644921670279246
134,-28.169917,-50.130437,1.337867221620808,0.028453623188406274,0.1316790999999995,0.47004959116321565,-1.1077363090142711
137,-28.169123,-49.86203,0.7354088646169572,0.02707556935817812,0.06521370000000015,0.4788150317875264,-1.0849830271662455
139,-28.169105,-49.68004,0.9121479865215392,0.024336231884057535,-0.05961850000000002,0.4944100707460457,-1.0797377773496066
140,-28.170285,-49.590092,0.8101089152393293,0.01693312629399557,-0.07178169999999984,0.4903739957123161,-1.191281904801997
141,-28.172088,-49.495816,0.9385284031731302,0.03126997929606645,-0.15796279999999996,0.48546627311494817,-1.3309016620538898
142,-28.169936,-49.40998,0.8390996955482422,0.023674741200828353,-0.15000700000000045,0.47872550142330006,-1.4446840448866567
143,-28.170117,-49.32228,0.9660950782669993,0.023653830227743144,-0.23590669999999925,0.4643909627433853,-1.7075699166905025
146,-28.169306,-49.049919,1.0213465549727339,0.010007660455487066,-0.4046140000000005,0.4357729978903677,-2.3389689365482695
147,-28.168458,-48.958318,1.0238505983880763,0.009218633540372556,-0.3073864999999998,0.42168059346776054,-2.188300172020476
148,-28.16948,-48.870237,0.5945791527313276,0.012072049689441533,-0.4486990000000004,0.419560191967145,-1.726116754955342
165,-28.082521,-49.591097,0.9063749219433141,0.01384658385093207,-0.11720730000000046,0.4652084175443729,-1.0460158792362506
166,-28.082899,-49.498262,0.8002237717280991,0.040577432712215034,-0.10981440000000031,0.46334693060199683,-1.1663014797512261
167,-28.080325,-49.40999,0.8641131741821653,0.03560082815734911,-0.19556709999999988,0.4652052428278388,-1.2923552237860747
