UA,PD,MPD,MNTD
1,2364.964423003,236.961754591,117.91608200023076
10,3155.671881402,267.969414186439,90.12578291731707
1001,2673.111269,275.69861091333337,154.16103592
1003,2428.898993996,284.1771172061884,139.23706408316667
1010,1918.141141,304.2692272967033,199.06493807142857
1013,1555.1730960000002,304.86263856060606,155.88565625
1016,2289.51004,276.50585351082253,132.66989054545454
1019,2590.807668,267.27106530158727,124.92311385714285
1024,3064.820978,308.8693727260504,110.25162014285713
1025,3705.191821006,280.0726609832381,96.2787178369796
1026,3306.035076902,284.616606096074,76.3674766275
1027,3608.9549128989997,272.19712919266124,119.58567955379488
1031,2866.389596003,257.25932982905346,112.4418180592647
1034,1541.762820996,243.11275013129668,137.52961449971428
104,3452.049174996,280.2916550659217,116.43162510246154
1042,2210.547402,317.57082139473687,126.17128945
1047,1970.3773649992,234.03455186225216,100.6334731251
1049,4393.420968003001,240.8993006465073,101.73632027123729
1052,3937.773201999,301.6770438230884,100.33183734704082
1055,1807.989246,293.74938754285716,158.521206
1056,3605.577736996,282.97001304964783,112.17399167423255
1059,3074.082819996,258.68292004783183,109.76768859437838
1061,2824.5274725,264.8795918731183,135.54466493548387
1062,2448.8502350000003,273.5591039604743,138.70475060869566
1063,3361.0031870000003,277.8746065923077,104.22947555
1068,3476.2381599990003,240.29165597571313,111.23832553337778
1069,4530.488268825,257.23254019260435,118.18076959163793
1072,4150.347430003,306.13787133515643,107.33941444916327
1073,3594.890085999,235.23216045923755,93.69580423086538
1074,3983.0160419960002,238.21993354632846,94.11941994908474
113,1972.349821,340.054570075,130.71188899999999
114,1481.9705740000002,403.72592194444445,199.93782133333332
117,5206.741230003,282.9755924191333,95.45241475727143
118,4714.660146006,309.85366696948336,87.73298429015942
1187,3580.0392969960003,244.02037001606968,118.98271730933332
119,3546.150754899,266.2730090219757,101.57581179106667
1191,2858.3861149960003,240.64599239548664,109.91195211741177
1195,2757.648865,266.0696149218391,124.09617223333333
122,2405.001710899,243.3822497728374,84.69502546889656
123,4111.899762003,288.1511939421594,111.96379619571739
134,2108.843287,298.96337895238094,98.45417786363636
137,2189.922915,324.35350573099413,127.7810437368421
1388,3609.6495639960003,238.8767044745697,109.05404584435556
139,1202.0707419999999,425.9507454285714,173.76419485714285
140,1133.2857060000001,349.84466790476193,186.49146628571427
141,3800.046353003,270.1120662905029,130.35929995259522
142,3617.5758015092,335.63136510452534,100.43817307019535
143,3855.583201006,285.02123502611767,84.37944668662745
146,3544.380682899,270.5661053021463,110.33101442921951
147,3201.5937573990004,243.96138911556096,95.11752938036585
148,4046.669455003,316.96207962601153,116.96348108352083
15,4141.169187396,244.92213729859165,83.41076390675862
1536,3260.627060996,266.5874108196036,124.94140837827027
1619,2113.5864409960004,235.25082387316996,120.97286265199999
165,1762.7500100000002,305.5013915897436,201.22906046153847
166,1677.528326,300.5513485384615,189.51818361538463
167,2023.756673,267.2172742055336,100.69824908695652
170,4378.3216819022,264.1116438700395,110.85310982278114
172,3353.837714896,245.1824768824878,105.40490030712195
174,3889.301937999,286.8855935951973,90.57634546942857
175,3589.364569899,292.2781926778987,103.500229965025
177,2675.250136,290.54395004761903,109.69930421428572
1770,3640.250325999,238.1962186327049,106.04128638302127
1774,2432.270529996,238.2632223145291,106.50225417842857
188,2149.3106470000002,274.0177942337662,124.33185113636364
191,2208.428575,271.46546757246375,114.26930654166667
192,1789.616404,300.3538503626374,179.10652357142857
193,1662.987204,303.7507258974359,174.6876763846154
194,4127.5560450092,321.39023422656595,104.51165881669796
1959,3733.251353,262.9811909195122,131.54261487804877
1961,3350.531883996,291.589218590888,98.24368248707692
1965,3158.796747,273.65857426136364,136.41647439393938
1970,1998.5484529960002,240.26416789141126,115.63300477236365
199,5035.996800003,286.82804654897785,91.15375364797183
2001,2250.289612996,277.1894069615238,140.12576185695238
206,2426.717731,262.27223920307694,128.0142806923077
208,2788.5128795,291.7510184873563,111.34823256666667
21,4112.945729399,261.9265734491593,98.94163812212963
211,2946.293409,287.8367289548387,112.15279225806451
214,1418.062008,244.20229048484848,140.72968516666666
217,2074.90792,234.92750535692306,75.55866738461539
2179,2656.572145999,239.98424869348588,104.7022728125625
218,3026.543079,271.59525148817204,136.21294596774192
2194,2963.894076996,234.28019095711522,96.38064947357894
221,4241.386629506,274.2825936619453,79.70904859040984
2216,2551.4317119959996,241.61919128892308,137.71696907676923
225,2546.7964485,281.2626111277311,82.16245925714286
228,2092.316729003,298.4477260591765,180.13931805935295
23,2760.6159568989997,242.21510537740474,95.1554770998611
2310,3767.459476996,267.97529109082564,132.2357420998
2406,2617.880057996,239.11031438134253,111.39264939986667
242,1716.010463,274.16523941176473,125.51708382352942
2425,3248.332014996,240.70879881629017,112.60199273673685
246,2559.5661769999997,240.00919254679803,111.7963004137931
249,2530.845642,243.23233398,153.7607234
251,3032.885141003,272.8591241894409,135.82006051632257
2530,2532.6625419959996,232.37942848384125,127.79345774985714
254,3081.4248700030003,286.9997553855122,81.44735317095122
260,2791.270709,267.4993161970443,128.85728124137933
261,1412.8970900000002,239.00533050909092,182.44834036363636
2623,2252.0719549960004,234.1634856240529,93.06772228557142
2645,2979.459924996,239.0570606165205,119.0644127057647
27,2599.808716899,277.3272315207236,124.33001157792593
279,2584.4549429999997,238.14611451182796,101.88486512903225
28,4017.057117402,317.4584237622276,82.5959675564909
281,2972.769429999,277.2346513246667,123.88743361296774
284,4096.6241269022,308.8943744236732,94.69936192919583
285,3356.330303896,324.1643847463044,98.25592551557895
286,3371.533708,320.91189535462183,127.20575262857143
287,3647.338471996,292.42629340631356,113.28116866657143
297,3088.33007,286.3539985472371,105.23347170588235
30,3757.243206006,318.0786682865098,94.51433723558824
301,1550.1600990000002,326.92752673333337,225.0148614
304,2122.531167,283.45318844444444,153.60960994736843
308,3657.596090996,370.6420619998095,105.37442054752381
3082,2609.2149099959997,239.47867319283597,122.43954271414285
309,3528.069043996,325.67506288142494,96.79060577263635
3097,3305.834486996,235.65823415057184,124.20608676305262
310,4000.5869924959998,284.72443586873993,135.09486879536362
311,2992.8537335030005,238.1227297411417,81.87915711919048
312,3407.389853996,273.7857308267619,137.22518719433333
316,4254.876669902,332.7801822731698,96.16263878907407
317,3453.901169899,299.06338757581744,114.91583909986112
318,3624.786063002,295.0146366817898,131.93078745991892
321,3204.6746860000003,261.62592056507935,115.26160594444444
328,3508.8498949960003,262.0918662100564,119.49366612489999
3309,3198.4740029960003,238.2592886448691,98.86854284605127
336,2667.027018,276.88159317333333,150.8423448
337,2669.832719,267.3680867034483,102.6132026
340,2509.8017910030003,238.5519006882335,85.212266559
341,3271.926078003,266.1828856465776,119.42495456441026
344,2832.687223,307.7911963096774,79.82385070967742
345,3218.325530999,306.01879967039395,109.54912403045455
349,4770.306584902,284.635915550207,75.60709440553424
35,2246.202844996,243.19414924604348,113.1929990415
351,4031.613582902,266.5928840681684,112.59267340847917
352,3263.990059,277.3352308467023,134.4899752352941
365,2728.1380470000004,273.1274334984615,142.5994383076923
367,3074.949932996,287.03008904514957,99.45345502845714
369,2867.290061,262.7929728225806,126.75952578125
37,4573.607097003,275.22414012062944,85.28529834379687
377,3087.025470996,275.1353055719572,122.13038897047058
383,4022.5602985,273.7392737247429,83.16402205172413
384,3212.187396006,289.6945281374795,93.49491682545
385,3225.899318,306.4730182746401,90.43163802325581
386,4220.365842006,290.6484212023825,83.21710381986885
387,3951.58195,309.8341693709528,106.08518819148937
39,3528.027957896,242.01706712910143,96.07085557808695
390,2850.3761560020002,239.27644977217204,126.75514161335484
391,2544.726712999,271.0771153014615,147.9037221923846
392,2420.314396999,223.28987027506082,115.06271928578572
395,2866.6625159960004,242.41414209066667,107.12890184824242
397,2200.031485996,236.29240257213044,122.4040615415
398,2634.035260996,238.38249603338488,88.85358702845714
4,3929.7570768960004,243.6877682340633,85.79811966530909
40,3749.085755999,242.36462689754106,115.3435567175652
403,2117.25858,236.13968448,102.34483426923077
405,1907.623873,273.3295125620915,140.30821088888888
409,3598.5576060000003,257.0186244111498,127.46431354761904
41,3599.362152999,272.3420245475635,151.5291531945
413,2609.8721695000004,239.69198523655913,103.83611148387098
415,2897.900228,264.75561054654656,99.98076143243243
419,4031.5987215,274.7616604619608,111.36596943137255
421,4401.356609503,296.43563863669675,91.90442777203509
423,3337.945105005,284.17520250530066,62.4688398300851
424,4055.634223009,304.11703599407844,95.4462046082549
425,4118.579698506,312.0080968059525,96.85585518557407
427,4833.659696003,322.1623037560322,115.49993230015
428,4082.048512402,279.1941033103312,80.11613493946429
429,4866.425184003,301.29897854694406,98.01588736377272
430,2877.824193825,350.5843214573504,125.32983375218518
435,2361.924179996,238.60483577748147,118.76052788859259
438,3059.271370996,239.55537180064294,103.64900568410526
442,3539.57726,257.72540090384615,123.972970975
450,3410.6185060000003,259.2594301711712,140.59641724324325
456,2479.942151,241.93574315763547,96.63795672413794
460,3747.650461003,329.4520715199372,92.49195908715217
464,4181.460403506,282.5055215089347,103.56620281166038
465,4335.835139006,256.70488224084585,96.26873511149206
468,4457.506247503,290.5496407559513,110.95977244653572
47,3905.5862948989998,243.49575363644092,87.03735821483333
470,3814.885079899,318.34851194456536,126.303017340025
487,2737.622777996,236.35550637878225,108.068430593625
49,4317.892769899,294.22044461338015,89.83509578885185
491,1694.9973,236.76555681699347,114.60891983333333
494,2303.878626996,241.67755358634668,125.05198075968
495,2161.267953996,242.98877378318613,135.32875027254545
50,3178.663072902,245.29217118474253,99.16591775281579
51,3564.202088003,268.9363283977073,123.67130948802439
513,3822.634358003,312.47502565764165,104.44544836377273
516,3419.608271003,306.47215859630387,107.68209862515
517,3865.157349003,282.447400277671,102.51025018012
519,4324.1505089082,242.25407461008933,77.34006560889144
520,3696.677122003,301.73597747098796,86.49506338323404
522,4235.269597003,270.47127950114344,147.69079953353332
523,4517.228073,289.2578535355769,83.79233712307692
526,1989.691727999,232.60524617533332,156.44945252657894
529,2734.968654996,294.2535940933202,114.30219693089656
537,2824.6281849960005,239.1541404172381,83.04394927766667
551,2436.4937440000003,237.09953724338624,108.60290921428572
555,3473.197140999,240.62257852212144,83.89177402087499
561,2910.584511996,289.58420101587905,107.21323015612501
566,2440.347181006,236.26016432464866,72.07420605454054
570,4001.477285902,279.7829235278636,75.4395620465
571,4234.317483503,299.34167263108554,98.46164565459999
573,2926.530002503,292.76149152418617,83.09706675691892
575,3187.164872002,330.16259700851765,106.05229865737142
576,3559.518697503,265.4956274145127,106.23011540922727
579,4463.158915006,296.8260201236189,95.30293005208621
58,3935.016747899,271.108023651288,124.97646532369048
582,3767.583362896,336.2852099922439,110.78192091678049
584,2484.3104339990005,240.1607485171724,102.16241793120689
59,3922.736781899,306.3624864696392,92.3668744916875
597,2860.671478,264.46535627586206,132.46786756666665
602,3215.747725996,266.45497282840483,107.02568099989743
605,2355.6857550000004,235.4434889310345,96.51862693333334
615,1875.4619690000002,242.8228371111111,130.99800605555555
619,2553.726664922,299.9495861866462,102.77799141169231
631,3823.450524,302.55034149960784,85.07438370588235
634,3976.428322503,280.11381607631057,89.22512601909433
636,4093.082797,320.817512410461,118.82544324999999
637,4477.687566,289.2143001423451,91.50524495238095
638,3176.8723698989998,239.13329650482177,100.933553690025
639,3240.464074899,278.18220958824395,147.17823623753125
640,3171.029513999,329.89377497342423,109.81587239390909
642,4049.230480222,259.2836646077315,105.58081796338462
660,3078.0701120000003,237.17497501045295,82.55646866666666
668,2858.9611399960004,237.3719357649091,105.62738766654545
669,2660.664800996,242.1640308900645,112.86490148374193
672,2366.561497996,239.41961865546375,138.2515160415
673,2488.557292,267.88764225396824,111.55017485714286
682,3686.886238003,281.7949530732677,69.99491538473077
686,3500.431904999,328.83750199793536,86.70942457782222
687,3828.292351003,310.0094997617495,99.98306380013334
688,4158.701177003,292.28277558654065,81.1087602501
69,1804.7365869999999,297.97118025641026,207.20699246153845
690,3693.2540140062,290.8556745154271,91.11036775589778
70,1945.873976,328.3111213166667,149.5285160625
712,2966.6588089960005,242.6422358393369,112.3328091762353
714,2896.774393,265.32708074712644,139.2791971
717,2820.47755,263.2336417862903,113.95556240625
718,3490.837880996,324.4639809916855,149.08862268725
723,2253.728883,273.0342762608696,131.79679708695653
725,2584.024373,261.1200040846561,127.34032592857143
728,2025.6768550000002,312.46769504736847,110.0320334
732,2946.4290650000003,259.4142966613191,121.96535897058823
736,1808.372376,259.38878675324673,99.91916409090909
739,3186.187481496,260.8061527766341,97.98905463404878
74,4415.129826003,296.734292244263,98.97304982164286
742,3465.283760003,336.4192815762172,103.23056357164286
743,3202.267304996,268.2249905517098,106.95441818410526
745,3316.078657902,272.39582451090473,123.1608968503611
747,4059.296381006,266.51186674808696,129.65220793517392
750,4815.755715902,288.7529890517156,92.08926041828788
752,4414.569716899,290.5179499776515,86.06365602582258
753,3308.514595,285.23559232558137,84.05096788636364
77,2452.487594999,237.27387543901378,104.90116500006667
784,2207.104291,241.23377124275362,114.60803775000001
789,2098.766395,315.7859164368421,113.1872149
795,3161.6206280020006,234.13656960212245,70.98579714308163
796,2791.0828870000005,233.7481107087486,78.59451588372093
803,3625.743657,284.6232309676226,86.90757444680851
807,2958.1929910030003,242.9305916673983,105.22402734302857
81,4162.587941899,240.69159644903823,88.02916169837705
811,3289.821242999,240.42930497773332,93.2650714224
830,2734.586042,269.8050459497355,131.5287049642857
836,2380.534835,274.2723258514493,128.46642129166668
837,1626.4925050000002,239.60901995833333,116.70111250000001
843,1978.9656770000001,239.0361775368421,132.8163894
845,2255.8302000000003,269.33882374666666,112.80538036
85,2631.939547,272.6974572733333,153.37286324000002
852,2987.888330996,271.1691809959697,130.30490560593938
857,3612.679522003,301.27620599391935,88.19778189589583
860,3122.475742003,305.80197045472727,107.84377269715151
865,2871.469286006,302.28942081892336,97.3405520943125
87,2612.0678900000003,293.4292353789174,120.80204548148149
884,2408.507150996,245.9013562950769,119.04541403815385
887,2022.426048,272.82001239473686,131.4443359
89,2237.017134,293.9737879411765,197.8535105882353
894,2718.103548999,236.930527761082,101.12885261770587
895,2796.241827996,243.957864976086,121.7192608384516
899,3887.258011506,272.06889037669947,64.29595211495082
902,2585.578151,268.9500617989418,110.85024675
906,3540.124827499,316.9627130735195,123.39342651356756
907,2647.0053549020004,242.83982602980643,105.04916389045161
912,3004.695236003,267.4488817479099,107.72678462186487
913,2893.444227003,266.2150847026924,112.42091100025715
918,3124.365394996,241.74779123787303,116.86629777755556
926,3053.059366922,306.57241523555666,150.781915576
930,2583.0567490000003,273.15829950666665,149.55947772
933,2919.5955590000003,259.84062733968256,93.53771980555555
934,2576.5254879999998,236.6612770111111,74.99768952777778
938,2780.903302,272.14970773809523,141.227415
939,3202.520336003,257.12650374665867,84.13855787240425
941,2094.974262,281.880597372549,169.1555476111111
945,2831.5665950000002,241.55373377634407,128.60679264516128
946,2327.353713,266.9771445185185,110.42359381481481
949,2409.4730720000002,271.87957616666665,121.05911087999999
95,3295.9323038989996,242.0385107411707,94.36950742929268
951,4166.602734003,316.7517922577755,117.11943442863266
955,3454.769245006,268.4955809297872,114.521745475375
959,2724.917391999,275.26617766495565,126.91314213810345
97,3858.248696002,282.2311592721905,88.20646926553061
974,2991.9651229990004,240.41178158584742,95.51758007504999
976,2799.1160639990003,237.4421999428889,83.93365132429729
978,2540.369347,238.61024068387098,109.82428622580645
979,2232.095521,273.8849852252965,110.36879495652174
98,4581.904834402,262.02261799125654,93.70232534292063
982,2233.857707,278.88100994285713,138.0779421904762
984,1869.950700996,295.32910005660955,171.8954504664
991,3104.102895006,259.89272231845456,85.4572840003409
992,3192.141010006,302.06878175832605,99.92606994328571
994,4184.682128,284.0404685602537,143.93414454545453
995,3530.0477870060004,239.1922938386505,109.48300140033334
997,2693.277135999,268.33968657234715,129.3584613336
