Unnamed: 0,UA,sorensen,bray_curtis,legendre,podani,n_especies_ingresso,n_especies_egresso,abundancia_ingresso,abundancia_egresso,abund_total_c1,abund_total_c2,taxa_rel_ingresso,taxa_rel_egresso,taxa_rel_ingresso_pct,taxa_rel_egresso_pct,ganho_liquido_especies,ganho_liquido_individuos,taxa_liquida_abund_pct,PD,MPD,MNTD,q0_riqueza_c1,q1_shannon_c1,q2_simpson_c1,q0_riqueza_c2,q1_shannon_c2,q2_simpson_c2,diff_q0,diff_q1,diff_q2,ganho_liquido,trajetoria,PD_ciclo1,MPD_ciclo1,MNTD_ciclo1,PD_ciclo2,MPD_ciclo2,MNTD_ciclo2,PD_delta,MPD_delta,MNTD_delta
0,1,0.1186440677966101,0.1611479028697571,0.1186440677966101,0.1611479028697571,6,1,6,1,195,258,0.0232558139534883,0.0051282051282051,2.3255813953488373,0.5128205128205128,5,5,1.8127608825283248,2364.964423003,236.961754591,117.91608200023076,27,18.65267611465464,15.119284294234596,32,19.284549166570045,14.818343722172752,5,0.6318730519154059,-0.3009405720618439,5,Regeneração,2364.964423003,236.961754591,117.91608200023076,2672.207212003,237.5589208216989,109.8453236454516,307.2427890000004,0.5971662306989174,-8.070758354779159
1,10,0.0617283950617283,0.1555555555555555,0.0617283950617283,0.1555555555555555,2,3,2,6,213,237,0.0084388185654008,0.028169014084507,0.8438818565400843,2.8169014084507045,-1,-4,-1.97301955191062,3155.671881402,267.969414186439,90.12578291731708,41,20.289223767587224,12.16001072098633,40,18.35870241774708,11.15571002979146,-1,-1.930521349840145,-1.0043006911948709,-4,Declínio,3155.671881402,267.969414186439,90.12578291731708,3086.755896506,267.15081290414616,93.58741692545,-68.91598489599983,-0.8186012822928319,3.4616340081329184
2,1001,0.1063829787234042,0.1099476439790576,0.1063829787234042,0.1099476439790576,1,4,1,4,102,89,0.0112359550561797,0.0392156862745098,1.1235955056179776,3.92156862745098,-3,-3,-2.7979731218330026,2673.111269,275.69861091333337,154.16103592,25,12.777285456677491,8.24405705229794,22,12.64340922753929,8.890011223344557,-3,-0.1338762291382007,0.6459541710466166,-3,Declínio,2673.111269,275.69861091333337,154.16103592,2453.530802,280.1028913766234,160.90857368181818,-219.58046699999977,4.404280463290036,6.747537761818194
3,1003,0.04,0.2027027027027027,0.04,0.2027027027027027,2,0,4,0,258,334,0.0119760479041916,0.0,1.1976047904191618,0.0,2,4,1.1976047904191618,2428.898993996,284.1771172061884,139.23706408316667,24,12.18364857308025,8.425822784810126,26,11.656864276987678,7.183258209916291,2,-0.5267842960925719,-1.2425645748938354,4,Regeneração,2428.898993996,284.1771172061884,139.23706408316667,2638.411140996,283.49529794738464,142.42332623046153,209.5121469999999,-0.6818192588037846,3.1862621472948547
4,1010,0.037037037037037,0.1131221719457013,0.037037037037037,0.1131221719457013,0,1,0,1,101,120,0.0,0.0099009900990099,0.0,0.99009900990099,-1,-1,-0.99009900990099,1918.141141,304.2692272967033,199.06493807142857,14,6.8283667549435645,4.694431661297745,13,6.681970970498891,5.077574047954866,-1,-0.1463957844446737,0.3831423866571208,-1,Estagnação,1918.141141,304.2692272967033,199.06493807142857,1840.177954,309.69422523076923,207.7275982307692,-77.96318700000006,5.424997934065914,8.662660159340618
5,1013,0.2142857142857142,0.6065573770491803,0.2142857142857142,0.6065573770491803,5,1,9,1,47,136,0.0661764705882353,0.0212765957446808,6.61764705882353,2.127659574468085,4,8,4.489987484355445,1555.1730960000002,304.86263856060606,155.88565625,12,7.468296216240838,5.322891566265059,16,4.195164793132513,2.173953925716973,4,-3.273131423108325,-3.1489376405480862,8,Regeneração,1555.1730960000002,304.86263856060606,155.88565625,1870.648936,285.3569427916667,144.754182125,315.47583999999983,-19.505695768939347,-11.131474125000013
6,1016,0.1904761904761904,0.2700729927007299,0.1904761904761904,0.2700729927007299,3,5,5,6,99,107,0.0467289719626168,0.0606060606060606,4.672897196261682,6.0606060606060606,-2,-1,-1.3877088643443782,2289.51004,276.50585351082253,132.66989054545454,22,12.23931901013962,8.298899237933952,20,7.794540009958153,4.093314265284233,-2,-4.444779000181468,-4.205584972649719,-1,Estagnação,2289.51004,276.50585351082253,132.66989054545454,2203.0645750000003,279.1016911526316,141.3995668,-86.44546499999979,2.595837641809055,8.729676254545467
7,1019,0.0666666666666666,0.2021182700794351,0.0666666666666666,0.2021182700794351,3,1,26,2,86,104,0.25,0.0232558139534883,25.0,2.3255813953488373,2,24,22.67441860465116,2590.807668,267.27106530158727,124.92311385714284,29,21.03438348301653,16.148471615720528,31,19.11342306953956,11.680345572354211,2,-1.920960413476969,-4.468126043366317,24,Regeneração,2590.807668,267.27106530158727,124.92311385714284,2707.7302010032,266.54173459791446,116.20603470021334,116.9225330032,-0.7293307036728152,-8.7170791569295
8,1024,0.0410958904109589,0.0867823765020026,0.0410958904109589,0.0867823765020026,3,0,6,0,183,195,0.0307692307692307,0.0,3.076923076923077,0.0,3,6,3.076923076923077,3064.820978,308.8693727260504,110.25162014285712,35,18.043945176211487,12.0075295804948,38,20.112419591186296,13.272251308900524,3,2.0684744149748084,1.2647217284057248,6,Regeneração,3064.820978,308.8693727260504,110.25162014285712,3148.680556,352.1387570611664,86.8012165,83.8595779999996,43.269384335116,-23.450403642857125
9,1025,0.087378640776699,0.141439205955335,0.087378640776699,0.141439205955335,7,2,7,2,183,220,0.0318181818181818,0.0109289617486338,3.1818181818181817,1.092896174863388,5,5,2.0889220069547934,3705.191821006,280.0726609832381,96.2787178369796,49,29.26372191133562,19.391430225825133,54,28.188123143095915,16.58670322138451,5,-1.075598768239704,-2.804727004440622,5,Regeneração,3705.191821006,280.0726609832381,96.2787178369796,3917.815134006,278.97917931608526,88.04760533355555,212.62331300000005,-1.0934816671528438,-8.231112503424043
10,1026,0.1058823529411764,0.1241830065359477,0.1058823529411764,0.1241830065359477,3,6,3,6,157,149,0.0201342281879194,0.0382165605095541,2.013422818791946,3.821656050955414,-3,-3,-1.808233232163468,3306.035076902,284.616606096074,76.3674766275,44,18.42606209042985,8.296533153820263,41,20.640270889632987,10.226163058498386,-3,2.2142087992031385,1.929629904678123,-3,Declínio,3306.035076902,284.616606096074,76.3674766275,3376.351392902,306.02224637790243,89.64860038065854,70.31631599999992,21.405640281828425,13.28112375315854
11,1027,0.119047619047619,0.122077922077922,0.119047619047619,0.122077922077922,8,2,10,2,176,209,0.0478468899521531,0.0113636363636363,4.784688995215311,1.1363636363636365,6,8,3.6483253588516735,3608.954912899,272.19712919266124,119.58567955379488,39,20.817876832045226,12.36073423782921,45,24.053520716934884,14.382943694435305,6,3.235643884889658,2.022209456606093,8,Regeneração,3608.954912899,272.19712919266124,119.58567955379488,3839.643716899,266.6211298563192,106.48056625773332,230.6888039999999,-5.575999336342022,-13.10511329606156
12,1031,0.0294117647058823,0.0259365994236311,0.0294117647058823,0.0259365994236311,1,1,1,1,171,176,0.0056818181818181,0.0058479532163742,0.5681818181818182,0.5847953216374269,0,0,-0.0166135034556086,2866.389596003,257.25932982905346,112.4418180592647,34,18.53134217615068,13.142022471910114,34,18.63195803030778,13.271636675235644,0,0.1006158541571053,0.1296142033255307,0,Estagnação,2866.389596003,257.25932982905346,112.4418180592647,2839.1619680030003,257.0446537916203,110.00872785338235,-27.22762799999964,-0.2146760374331506,-2.433090205882351
13,1034,0.1034482758620689,0.2777777777777778,0.1034482758620689,0.2777777777777778,2,1,5,1,41,31,0.1612903225806451,0.024390243902439,16.129032258064516,2.4390243902439024,1,4,13.690007867820611,1541.762820996,243.11275013129668,137.52961449971428,14,7.924665444257245,5.017910447761192,15,11.92435781260593,9.90721649484536,1,3.999692368348685,4.889306047084169,4,Regeneração,1541.762820996,243.11275013129668,137.52961449971428,1941.313593996,299.2683409328,189.98954993306663,399.550773,56.15559080150334,52.45993543335234
14,104,0.0886075949367088,0.1071566731141199,0.0886075949367088,0.1071566731141199,4,3,5,4,209,223,0.0224215246636771,0.0191387559808612,2.242152466367713,1.9138755980861244,1,1,0.3282768682815884,3452.049174996,280.2916550659217,116.43162510246154,39,20.823268264453823,12.996429634037488,40,20.846095994247623,12.460285642696068,1,0.0228277297938035,-0.5361439913414205,1,Estagnação,3452.049174996,280.2916550659217,116.43162510246154,3502.501939996,279.7199847600564,116.0806695249,50.452765,-0.5716703058653252,-0.3509555775615354
15,1042,0.1739130434782608,0.2769953051643192,0.1739130434782608,0.2769953051643192,7,1,24,1,95,118,0.2033898305084746,0.0105263157894736,20.33898305084746,1.0526315789473684,6,23,19.28635147190009,2210.547402,317.57082139473687,126.17128945,20,14.22604950575074,11.705577172503242,26,16.74517474646626,12.86876155268022,6,2.519125240715521,1.163184380176979,23,Regeneração,2210.547402,317.57082139473687,126.17128945,2411.249563996,296.36899279353844,102.85453253830768,200.70216199599963,-21.20182860119843,-23.316756911692323
16,1047,0.2631578947368421,0.5252525252525253,0.2631578947368421,0.5252525252525253,12,3,38,5,57,141,0.2695035460992908,0.087719298245614,26.95035460992908,8.771929824561402,9,33,18.178424785367675,1970.3773649992,234.03455186225216,100.6334731251,24,19.419888891459447,16.164179104477615,33,21.405020438104344,15.23448275862069,9,1.985131546644897,-0.9296963458569252,33,Regeneração,1970.3773649992,234.03455186225216,100.6334731251,3222.8073000022,324.93028084861817,122.81363339419394,1252.429935003,90.895728986366,22.180160269093943
17,1049,0.0697674418604651,0.14375,0.0697674418604651,0.14375,9,0,12,0,142,178,0.0674157303370786,0.0,6.741573033707865,0.0,9,12,6.741573033707865,4393.420968003001,240.8993006465073,101.73632027123728,60,45.47138473879774,35.128919860627185,69,49.64749576355828,37.71904761904762,9,4.176111024760537,2.5901277584204365,12,Regeneração,4393.420968003001,240.8993006465073,101.73632027123728,4660.725394006,239.5236503026348,91.27345075017648,267.3044260029992,-1.3756503438725076,-10.462869521060796
