UA,anom_lst_max,anom_lst_mean,anom_lst_min,anom_lst_sd,anom_ndvi_max,anom_ndvi_mean,anom_ndvi_min,anom_ndvi_sd,anom_prec_max,anom_prec_mean,anom_prec_min,anom_prec_sd,anom_rad_mean,anom_rad_sd,anom_umid_mean,anom_umid_sd,cycle_lst_max_cycle1,cycle_lst_max_cycle2,cycle_lst_mean_cycle1,cycle_lst_mean_cycle2,cycle_lst_min_cycle1,cycle_lst_min_cycle2,cycle_lst_sd_cycle1,cycle_lst_sd_cycle2,cycle_ndvi_max_cycle1,cycle_ndvi_max_cycle2,cycle_ndvi_mean_cycle1,cycle_ndvi_mean_cycle2,cycle_ndvi_min_cycle1,cycle_ndvi_min_cycle2,cycle_ndvi_sd_cycle1,cycle_ndvi_sd_cycle2,cycle_prec_max_cycle1,cycle_prec_max_cycle2,cycle_prec_mean_cycle1,cycle_prec_mean_cycle2,cycle_prec_min_cycle1,cycle_prec_min_cycle2,cycle_prec_sd_cycle1,cycle_prec_sd_cycle2,cycle_rad_mean_cycle1,cycle_rad_mean_cycle2,cycle_rad_sd_cycle1,cycle_rad_sd_cycle2,cycle_umid_mean_cycle1,cycle_umid_mean_cycle2,cycle_umid_sd_cycle1,cycle_umid_sd_cycle2,monthly_lst_max_cycle1,monthly_lst_max_cycle2,monthly_lst_mean_cycle1,monthly_lst_mean_cycle2,monthly_lst_min_cycle1,monthly_lst_min_cycle2,monthly_lst_sd_cycle1,monthly_lst_sd_cycle2,monthly_ndvi_max_cycle1,monthly_ndvi_max_cycle2,monthly_ndvi_mean_cycle1,monthly_ndvi_mean_cycle2,monthly_ndvi_min_cycle1,monthly_ndvi_min_cycle2,monthly_ndvi_sd_cycle1,monthly_ndvi_sd_cycle2,monthly_prec_max_cycle1,monthly_prec_max_cycle2,monthly_prec_mean_cycle1,monthly_prec_mean_cycle2,monthly_prec_min_cycle1,monthly_prec_min_cycle2,monthly_prec_sd_cycle1,monthly_prec_sd_cycle2
1,0.9600000000000364,1.0581668027027717,-1.879999999999996,0.0905788470167499,0.014699999999999935,0.006960455486541783,-0.45890000000000003,0.026531690546113804,-3.363315,0.5408783000000001,0.0,0.023582890500016163,0.429336965125124,0.0987931532044426,-1.1114824843792377,0.19020169633130912,31.370000000000005,32.33000000000004,18.39964059196621,19.457807394668983,3.010000000000048,1.1300000000000523,5.338204249235442,5.428783096252192,0.8994000000000001,0.9141,0.8482681159420294,0.8552285714285712,0.775,0.3161,0.029338763460262,0.0558704540063758,109.115845,105.75253,5.2444634,5.7853417,0.0,0.0,12.283922160658303,12.30750505115832,13.6820535324841,14.111390497609223,6.048303906241357,6.1470970594458,84.21505809934104,83.1035756149618,8.470284690199904,8.660486386531213,24.528181818181853,26.59880000000003,19.90660353535356,20.592925396543905,13.29000000000003,14.38629629629633,3.9358122717184254,3.7571994964068303,0.8943,0.8983285714285715,0.8732565277777778,0.8784486441798941,0.835875,0.841007142857143,0.0196573880237398,0.0149616364014319,829.4426951408386,1691.7226445525885,478.5572742621104,1232.2778364811093,285.2526772022248,774.8537392981816,151.51072897893388,247.4552884704116
4,3.1999999999999886,1.0918801519738892,-1.6200000000000037,0.07362699142781715,0.0033000000000000806,0.0015550724637686253,-0.3052000000000001,0.006097716793523902,17.829279999999997,0.2926019999999996,0.0,-0.49271395255323114,0.4526351848841603,0.10475536953503184,-1.0417473910916186,0.12346418140527682,35.39000000000004,38.59000000000003,22.645842450765883,23.737722602739773,7.450000000000045,5.830000000000041,5.123987544900897,5.1976145363287145,0.8225,0.8258000000000001,0.6776840579710144,0.679239130434783,0.5396000000000001,0.2344,0.0752352207513485,0.0813329375448724,92.79281,110.62209,4.9965134,5.2891154,0.0,0.0,11.960631579029815,11.467917626476584,13.504299161707843,13.956934346592003,5.843698116209272,5.948453485744304,84.34465196152281,83.3029045704312,8.17709677354318,8.300560954948457,26.40500000000003,27.950800000000022,21.998238215488247,22.989149838206007,15.325000000000031,16.722857142857173,3.8026804065823816,3.790997696953824,0.8616333333333334,0.8689,0.8043095833333335,0.8189935185185185,0.759175,0.763388888888889,0.0366677630020736,0.0335196338379794,782.5346732139587,1509.340579420328,455.9318475325902,1126.58162217595,242.35604548454285,688.7037619688781,153.91115472757315,236.8089820041987
10,1.919999999999959,0.9595800906318743,-0.8600000000000136,0.07758985000090401,0.015800000000000036,0.015726086956521668,-0.3415,0.010659589749521997,22.725109999999987,0.04450140000000058,0.0,-1.2035719250848498,0.47354149773388343,0.11422084850804737,-0.9613698319445518,0.12476848481971814,34.89000000000004,36.81,21.75684104627769,22.716421136909563,7.850000000000023,6.990000000000009,4.791334049377213,4.868923899378117,0.8203,0.8361000000000001,0.6784217391304346,0.6941478260869562,0.5462,0.2047,0.0759033784540851,0.0865629682036071,106.47866,129.20377,5.0311036,5.075605,0.0,0.0,12.311290617515398,11.107718692430549,13.585032851205566,14.05857434893945,5.789394269988134,5.903615118496181,83.55243426900893,82.59106443706438,7.62302730019222,7.747795785011938,26.610000000000028,27.226153846153867,22.504281986532018,23.18403921050772,15.998333333333354,17.48481481481484,3.613717125621212,3.3881315075359577,0.86725,0.8652285714285716,0.799966388888889,0.8030843584656085,0.74105,0.755,0.0418284224753283,0.0338410601355419,736.4825882911682,1466.8933683037758,459.0881954828898,1081.103803335376,237.77966570854187,661.7159843697445,151.75375701269851,242.9216703633863
15,4.039999999999964,0.9750759334934003,1.2199999999999704,0.09298212928941041,0.0016000000000000458,0.0011799171842646894,-0.28830000000000006,0.021607193940194995,-3.1148199999999946,-0.17158100000000065,0.0,-1.6695260395137304,0.4847866486867396,0.12217332876912756,-1.1366093693364974,0.19395011510132587,33.89000000000004,37.93000000000001,22.014142538975516,22.989218472468917,8.090000000000032,9.310000000000002,4.94637756250163,5.039359691791041,0.8758,0.8774000000000001,0.780053623188406,0.7812335403726707,0.5992000000000001,0.3109,0.0544364450055591,0.0760436389457541,108.08792,104.9731,5.240853,5.069272,0.0,0.0,12.461381589253849,10.791855549740118,13.486190348922468,13.970976997609208,5.780589840251024,5.902763169020152,83.28942647511928,82.15281710578279,7.83040306430573,8.024353179407056,28.021111111111136,28.490000000000027,23.060729557479583,23.59005757048348,15.916666666666694,17.41222222222226,4.059117803019349,3.8040004112103056,0.8489833333333333,0.856157142857143,0.7904409722222222,0.7871366732804234,0.7316000000000001,0.7253071428571429,0.0374183325938124,0.0413585663176156,786.833084821701,1442.8882083892822,478.2278201878071,1079.7548950709606,242.1542692184448,672.2772964416654,159.7089850077943,230.7896062569662
21,2.900000000000041,0.684220877226597,1.939999999999996,-0.019471951947390487,0.010599999999999943,0.007118840579710239,-0.1543,0.006198154123203001,4.699709999999996,-0.16288500000000017,0.0,-1.8327672406365867,0.5032776844425442,0.13485677209854163,-1.2645934066841136,0.2207542063334742,34.81,37.71000000000004,22.355066079295167,23.039286956521764,7.970000000000027,9.910000000000023,4.887189211367301,4.86771725941991,0.8692000000000001,0.8798,0.7526289855072463,0.7597478260869566,0.6309,0.4766,0.0636624160538349,0.0698605701770379,95.07035,99.77006,5.176013,5.013128,0.0,0.0,12.422416271979822,10.589649031343235,13.505440290474985,14.008717974917529,5.767387838624395,5.902244610722937,83.23668778274062,81.9720943760565,8.084232444478372,8.304986650811847,26.971666666666696,27.60840000000003,22.31900126262629,22.732990934736254,15.5266666666667,16.96000000000003,3.850557153383674,3.6680470246068726,0.8905166666666667,0.8988928571428573,0.8489247222222223,0.86154708994709,0.7593,0.8097285714285716,0.0388807575338274,0.0286752738751493,786.1226437091827,1448.2067365646362,479.1097757766644,1081.0019336612138,243.51736754179,670.2513653347487,157.8089761139587,238.24458100426205
23,0.6200000000000045,0.8820484985896435,-1.8000000000000131,-0.008440561228658439,0.034499999999999975,0.004951552795031122,0.01369999999999999,-0.01340659145623141,-30.636205000000004,-0.2736889999999992,0.0,-2.362685215877745,0.48390177436900217,0.13371216246913775,-0.9080971914895741,0.09718489902208827,35.05000000000001,35.670000000000016,23.927987152034277,24.81003565062392,11.190000000000056,9.390000000000043,4.576861109830596,4.568420548601938,0.8709,0.9054,0.541113043478261,0.5460645962732921,0.1749,0.1886,0.2035519005233781,0.1901453090671467,110.91097,80.274765,4.892128,4.618439,0.0,0.0,12.215457790959809,9.852772575082064,13.404982438420182,13.888884212789185,5.615177327765966,5.748889490235103,83.00657283850127,82.0984756470117,7.341640991953886,7.438825890975974,27.69000000000003,28.113076923076957,23.500553030303063,24.103570433163213,17.1366666666667,18.61428571428574,3.4858375285576924,3.279956259462104,0.8891833333333334,0.9000428571428571,0.8624236111111112,0.8664624669312171,0.8197833333333334,0.8002555555555556,0.0228320259746693,0.0274577881699285,688.3188412189484,1472.825941324234,453.6184056003888,990.4473203418942,196.2064747810364,553.1215074904612,164.00759705114288,264.29178156446545
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.940909090909116,29.31814814814818,23.730861111111142,24.21403834567208,17.245000000000037,17.978571428571456,3.936162855713652,3.976221324279195,0.6468833333333334,0.6910150028522533,0.5912950208019921,0.6293940486205497,0.5216318116975749,0.5073374215630347,0.0407536588960996,0.0535179280878954,691.1193609237671,1430.4007420539856,404.2982596655687,848.5212074610366,182.27538859844208,504.0288732734043,156.07220399969427,234.82412373627872
28,3.2799999999999727,0.7251942683285826,-1.2600000000000495,0.12499283407993911,0.010700000000000043,0.012695238095238204,-0.18800000000000006,0.009201762308493198,12.225250000000003,-0.1341467000000005,0.0,-1.3282867465802415,0.526124431264444,0.14779286747168197,-1.3707988721854463,0.20630782169900463,33.75000000000006,37.03000000000003,21.597449209932343,22.322643478260925,8.630000000000052,7.370000000000003,4.905651740734264,5.030644574814203,0.8809,0.8916000000000001,0.8161942028985509,0.8288894409937891,0.6707000000000001,0.4827,0.04139781862228,0.0505995809307732,96.09133,108.31658,5.251297,5.1171503,0.0,0.0,12.251055864373669,10.922769117793427,13.54602274709598,14.072147178360424,5.788186435158808,5.93597930263049,82.67567246584112,81.30487359365567,8.2697477955658,8.476055617264805,26.64777777777781,27.38000000000003,22.262119528619557,22.68508674033967,16.12454545454548,17.353703703703736,3.6503969940556167,3.4903371572405044,0.9001333333333333,0.9068500000000002,0.8693001388888889,0.8778043650793651,0.8359333333333333,0.8285214285714285,0.021636751147342,0.0228433191050233,776.9989993572235,1474.9886169433594,479.1808508435885,1089.9529759588336,230.6575816869736,679.157717165981,156.6536681640082,246.70252897724916
30,2.9399999999999977,0.771195281174375,-1.5399999999999654,0.05784851189172091,0.009299999999999975,0.005276190476190656,-0.012400000000000022,-0.010222804677427907,-11.216459999999998,-0.28936399999999995,0.0,-2.2203391106278154,0.5050910210708093,0.1424257623429055,-1.149089295833818,0.14936045531022035,33.63000000000005,36.57000000000005,23.17150313152403,23.942698412698405,9.930000000000009,8.390000000000043,4.770002235996342,4.827850747888063,0.8747,0.884,0.6714057971014491,0.6766819875776398,0.4959,0.4835,0.1131738458597384,0.1029510411823105,104.47522,93.25876,5.013967,4.724603,0.0,0.0,12.478757264388731,10.258418153760916,13.370966535223832,13.876057556294642,5.657967575979862,5.800393338322768,82.98760400129478,81.83851470546097,7.778769927341413,7.928130382651633,28.11000000000003,28.23428571428574,24.01072474747478,24.531892279942312,17.399090909090933,18.896428571428604,3.662521586804285,3.340178587824298,0.8200833333333334,0.82405,0.7218031944444445,0.731751521164021,0.6048833333333333,0.6240857142857144,0.0679102860072211,0.062200200558782,693.2476677894592,1614.8804168701172,457.2645281205575,1018.5117655176524,203.09253579378128,523.3600332222995,164.71551424527024,290.13767574291546
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.68090909090913,31.166296296296323,24.544669191919223,25.59290572082242,17.420000000000034,18.682142857142885,4.44902303711338,4.419324655982263,0.49695,0.5351428571428571,0.4384066981203576,0.4736723875661375,0.3892637107776261,0.4189857142857143,0.03017103282116,0.0323061060839371,684.1714191436768,1456.3540172576904,408.3013174037139,853.2435231502944,188.56254482269287,474.5116939675063,155.1978865394349,241.4098156445546
