system:index,Lat,Long,UA,altitude,ciclo,lst_max,lst_mean,lst_min,lst_sd,ndvi_max,ndvi_mean,ndvi_min,ndvi_sd,prec_max,prec_mean,prec_min,prec_sd,.geo
1_2_00000000000000000000_0,-29.249849,-50.129826,1,455,ciclo1,24.528181818181853,19.906603535353558,13.29000000000003,3.9358122717184263,0.8943,0.8732565277777778,0.835875,0.019657388023739845,829.4426951408386,478.5572742621104,285.25267720222473,151.51072897893388,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-50.1304844302899,-29.25363722735222]}"
1_2_00000000000000000001_0,-29.159473,-49.952371,4,225,ciclo1,26.40500000000003,21.998238215488247,15.325000000000031,3.8026804065823816,0.8616333333333334,0.8043095833333335,0.759175,0.036667763002073646,782.5346732139587,455.9318475325902,242.35604548454285,153.91115472757315,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.95082137346599,-29.163805698940266]}"
1_2_00000000000000000002_0,-29.070014,-49.86003,10,45,ciclo1,26.610000000000028,22.504281986532018,15.998333333333354,3.6137171256212115,0.86725,0.799966388888889,0.74105,0.04182842247532837,736.4825882911682,459.08819548288983,237.77966570854187,151.75375701269851,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.86098984505404,-29.073974170528313]}"
1_2_00000000000000000003_0,-28.979503,-49.859074,15,266,ciclo1,28.021111111111136,23.060729557479586,15.916666666666694,4.059117803019349,0.8489833333333333,0.7904409722222222,0.7316000000000001,0.03741833259381245,786.833084821701,478.2278201878071,242.15426921844482,159.7089850077943,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.86098984505404,-28.975159489275168]}"
1_2_00000000000000000005_0,-28.894572,-49.680557,23,157,ciclo1,27.69000000000003,23.500553030303063,17.1366666666667,3.4858375285576924,0.8891833333333334,0.8624236111111112,0.8197833333333334,0.02283202597466938,688.3188412189484,453.6184056003888,196.20647478103638,164.00759705114288,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.68132678823014,-28.89431111370441]}"
1_2_00000000000000000006_0,-28.890081,-49.320126,27,3,ciclo1,28.940909090909113,23.730861111111142,17.245000000000037,3.9361628557136523,0.6468833333333334,0.5912950208019921,0.5216318116975749,0.04075365889609966,691.1193609237671,404.29825966556865,182.27538859844208,156.07220399969427,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.32200067458233,-28.89431111370441]}"
1_2_00000000000000000007_0,-28.800001,-49.86001,28,283,ciclo1,26.647777777777815,22.262119528619554,16.12454545454548,3.6503969940556167,0.9001333333333333,0.8693001388888889,0.8359333333333333,0.021636751147342047,776.9989993572235,479.18085084358853,230.65758168697357,156.6536681640082,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.86098984505404,-28.80447958529246]}"
1_2_00000000000000000008_0,-28.79995,-49.68009,30,72,ciclo1,28.11000000000003,24.01072474747478,17.399090909090933,3.662521586804285,0.8200833333333334,0.7218031944444445,0.6048833333333333,0.06791028600722111,693.2476677894592,457.2645281205575,203.09253579378128,164.71551424527024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.68132678823014,-28.795496432451262]}"
1_2_00000000000000000009_0,-28.805127,-49.218004,35,9,ciclo1,30.68090909090913,24.544669191919226,17.420000000000034,4.44902303711338,0.49695000000000006,0.43840669812035765,0.38926371077762617,0.030171032821160012,684.1714191436768,408.3013174037139,188.56254482269287,155.1978865394349,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.214202840487985,-28.80447958529246]}"
1_2_0000000000000000000a_0,-28.710079,-49.77012,37,427,ciclo1,25.70000000000003,21.3819267676768,15.730000000000034,3.488258622229479,0.9020833333333335,0.8621650000000001,0.7482800000000001,0.03940588122349395,799.9656472206116,490.2509149114291,234.62978291511536,169.03171900120964,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.771158316642094,-28.70566490403931]}"
