system:index,Lat,Long,UA,ciclo,lst_max,lst_mean,lst_min,lst_sd,ndvi_max,ndvi_mean,ndvi_min,ndvi_sd,prec_max,prec_mean,prec_min,prec_sd,rad_mean,rad_sd,umid_mean,umid_sd,.geo
1_1_00000000000000000000_0,-29.249849,-50.129826,1,ciclo1,31.370000000000005,18.39964059196621,3.0100000000000477,5.338204249235442,0.8994000000000001,0.8482681159420294,0.775,0.029338763460262082,109.115845,5.2444634,0.0,12.283922160658303,13.6820535324841,6.048303906241357,84.21505809934104,8.470284690199904,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-50.14845073597228,-29.26262038019341]}"
1_1_00000000000000000001_0,-29.159473,-49.952371,4,ciclo1,35.39000000000004,22.645842450765883,7.4500000000000455,5.123987544900897,0.8225,0.6776840579710144,0.5396000000000001,0.07523522075134857,92.79281,4.9965134,0.0,11.960631579029817,13.504299161707843,5.843698116209272,84.34465196152281,8.17709677354318,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.968787679148384,-29.17278885178146]}"
1_1_00000000000000000002_0,-29.070014,-49.86003,10,ciclo1,34.89000000000004,21.756841046277692,7.850000000000023,4.791334049377213,0.8203,0.6784217391304346,0.5462,0.07590337845408511,106.47866,5.0311036,0.0,12.311290617515398,13.585032851205566,5.789394269988134,83.55243426900893,7.62302730019222,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.87895615073643,-29.082957323369506]}"
1_1_00000000000000000003_0,-28.979503,-49.859074,15,ciclo1,33.89000000000004,22.014142538975513,8.090000000000032,4.94637756250163,0.8758,0.780053623188406,0.5992000000000001,0.05443644500555912,108.08792,5.240853,0.0,12.461381589253847,13.486190348922468,5.780589840251024,83.28942647511928,7.83040306430573,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.87895615073643,-28.993125794957557]}"
1_1_00000000000000000005_0,-28.894572,-49.680557,23,ciclo1,35.05000000000001,23.927987152034273,11.190000000000055,4.576861109830596,0.8709,0.541113043478261,0.1749,0.20355190052337815,110.91097,4.892128,0.0,12.215457790959809,13.404982438420182,5.615177327765966,83.00657283850127,7.341640991953886,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.69929309391252,-28.903294266545604]}"
1_1_00000000000000000007_0,-28.800001,-49.86001,28,ciclo1,33.75000000000006,21.597449209932346,8.630000000000052,4.905651740734264,0.8809,0.8161942028985509,0.6707000000000001,0.04139781862228005,96.09133,5.251297,0.0,12.251055864373669,13.54602274709598,5.788186435158808,82.67567246584112,8.2697477955658,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.87895615073643,-28.81346273813365]}"
1_1_00000000000000000008_0,-28.79995,-49.68009,30,ciclo1,33.63000000000005,23.17150313152403,9.930000000000007,4.770002235996342,0.8747,0.6714057971014491,0.4959,0.11317384585973847,104.47522,5.013967,0.0,12.478757264388733,13.370966535223832,5.657967575979862,82.98760400129478,7.778769927341413,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.69929309391252,-28.81346273813365]}"
1_1_0000000000000000000a_0,-28.710079,-49.77012,37,ciclo1,31.390000000000043,20.410506912442443,6.670000000000016,4.836525652594105,0.8936000000000001,0.8325391304347827,0.518,0.0672363346762238,113.38017,5.372613,0.0,12.924455532564554,13.497406246639352,5.764464926497569,82.68029866525997,8.321081774746599,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.78912462232448,-28.7236312097217]}"
1_1_0000000000000000000b_0,-28.70792,-49.588646,39,ciclo1,33.63000000000005,22.46365750528544,9.750000000000057,4.802922509820401,0.8901,0.7577898550724635,0.609,0.07286015022825262,99.41605,4.999916,0.0,12.24451213612188,13.311182737963536,5.638722882570043,82.94565397588049,7.484759125461293,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.609461565500574,-28.7236312097217]}"
1_1_0000000000000000000c_0,-28.710759,-49.499466,40,ciclo1,35.910000000000025,24.355986984815654,10.650000000000034,4.7185575105435795,0.8369000000000001,0.6123565217391307,0.4068,0.12431670108079448,96.22915,4.823248,0.0,12.047014941413117,13.242057684082287,5.57552396153349,82.54237258507037,7.019759089593127,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-49.51963003708862,-28.7236312097217]}"
