UA,Long,Lat
1,-50.129826,-29.249849
4,-49.952371,-29.159473
10,-49.86003,-29.070014
15,-49.859074,-28.979503
21,-49.860002,-28.89
23,-49.680557,-28.894572
27,-49.320126,-28.890081
28,-49.86001,-28.800001
30,-49.68009,-28.79995
35,-49.218004,-28.805127
37,-49.77012,-28.710079
39,-49.588646,-28.70792
40,-49.499466,-28.710759
41,-49.409071,-28.709167
47,-49.59011,-28.619987
49,-49.408916,-28.621879
50,-49.315469,-28.617853
51,-49.232084,-28.6193
58,-49.497344,-28.529238
59,-49.412979,-28.526374
69,-49.947676,-28.43901
70,-49.858788,-28.437969
74,-49.498729,-28.443679
77,-49.229925,-28.440231
81,-48.870006,-28.440008
85,-50.400054,-28.3502
87,-50.221382,-28.35029
89,-50.040497,-28.348379
95,-49.499967,-28.350039
97,-49.319101,-28.348173
98,-49.231971,-28.352694
104,-50.670125,-28.260212
113,-49.86161,-28.260661
114,-49.76909,-28.260536
117,-49.499514,-28.260198
118,-49.411941,-28.259786
119,-49.319129,-28.260778
122,-49.049247,-28.259529
123,-48.959494,-28.262477
134,-50.130437,-28.169917
137,-49.86203,-28.169123
139,-49.68004,-28.169105
140,-49.590092,-28.170285
141,-49.495816,-28.172088
142,-49.40998,-28.169936
143,-49.32228,-28.170117
146,-49.049919,-28.169306
147,-48.958318,-28.168458
148,-48.870237,-28.16948
165,-49.591097,-28.082521
166,-49.498262,-28.082899
167,-49.40999,-28.080325
170,-49.136915,-28.080499
172,-48.960733,-28.080691
173,-48.869911,-28.079961
174,-48.780013,-28.079979
175,-48.690006,-28.080009
177,-50.758215,-27.990802
188,-49.767671,-27.990133
191,-49.491881,-28.012936
192,-49.41219,-27.992173
193,-49.320053,-27.988858
194,-49.230917,-27.98959
196,-49.048792,-27.98904
197,-48.9599,-27.993877
198,-48.869688,-27.990081
199,-48.77991,-27.989878
206,-50.579514,-27.901381
208,-50.399912,-27.900265
211,-50.129431,-27.900401
214,-49.860002,-27.899998
217,-49.590005,-27.9
218,-49.497506,-27.90127
