file,column,inferred_type
data/processed/environmental/all_variables_compiled_from_gee_exports.csv,UA,int64
data/processed/environmental/all_variables_compiled_from_gee_exports.csv,anom_lst_max,float64
data/processed/environmental/all_variables_compiled_from_gee_exports.csv,anom_lst_mean,float64
data/processed/environmental/all_variables_compiled_from_gee_exports.csv,anom_lst_min,float64
data/processed/environmental/all_variables_compiled_from_gee_exports.csv,anom_lst_sd,float64
data/processed/environmental/all_variables_compiled_from_gee_exports.csv,anom_ndvi_max,float64
data/processed/environmental/all_variables_compiled_from_gee_exports.csv,anom_ndvi_mean,float64
data/processed/environmental/all_variables_compiled_from_gee_exports.csv,anom_ndvi_min,float64
data/processed/environmental/all_variables_compiled_from_gee_exports.csv,anom_ndvi_sd,float64
data/processed/environmental/all_variables_compiled_from_gee_exports.csv,anom_prec_max,float64
data/processed/environmental/all_variables_compiled_from_gee_exports.csv,anom_prec_mean,float64
data/processed/environmental/all_variables_compiled_from_gee_exports.csv,anom_prec_min,float64
data/processed/environmental/all_variables_compiled_from_gee_exports.csv,anom_prec_sd,float64
data/processed/environmental/all_variables_compiled_from_gee_exports.csv,anom_rad_mean,float64
data/processed/environmental/all_variables_compiled_from_gee_exports.csv,anom_rad_sd,float64
data/processed/environmental/all_variables_compiled_from_gee_exports.csv,anom_umid_mean,float64
data/processed/environmental/all_variables_compiled_from_gee_exports.csv,anom_umid_sd,float64
data/processed/environmental/all_variables_compiled_from_gee_exports.csv,cycle_lst_max_cycle1,float64
data/processed/environmental/all_variables_compiled_from_gee_exports.csv,cycle_lst_max_cycle2,float64
data/processed/environmental/all_variables_compiled_from_gee_exports.csv,cycle_lst_mean_cycle1,float64
data/processed/environmental/all_variables_compiled_from_gee_exports.csv,cycle_lst_mean_cycle2,float64
data/processed/environmental/all_variables_compiled_from_gee_exports.csv,cycle_lst_min_cycle1,float64
data/processed/environmental/all_variables_compiled_from_gee_exports.csv,cycle_lst_min_cycle2,float64
data/processed/environmental/all_variables_compiled_from_gee_exports.csv,cycle_lst_sd_cycle1,float64
data/processed/environmental/all_variables_compiled_from_gee_exports.csv,cycle_lst_sd_cycle2,float64
data/processed/environmental/all_variables_compiled_from_gee_exports.csv,cycle_ndvi_max_cycle1,float64
data/processed/environmental/all_variables_compiled_from_gee_exports.csv,cycle_ndvi_max_cycle2,float64
data/processed/environmental/all_variables_compiled_from_gee_exports.csv,cycle_ndvi_mean_cycle1,float64
data/processed/environmental/all_variables_compiled_from_gee_exports.csv,cycle_ndvi_mean_cycle2,float64
data/processed/environmental/all_variables_compiled_from_gee_exports.csv,cycle_ndvi_min_cycle1,float64
data/processed/environmental/all_variables_compiled_from_gee_exports.csv,cycle_ndvi_min_cycle2,float64
data/processed/environmental/all_variables_compiled_from_gee_exports.csv,cycle_ndvi_sd_cycle1,float64
data/processed/environmental/all_variables_compiled_from_gee_exports.csv,cycle_ndvi_sd_cycle2,float64
data/processed/environmental/all_variables_compiled_from_gee_exports.csv,cycle_prec_max_cycle1,float64
data/processed/environmental/all_variables_compiled_from_gee_exports.csv,cycle_prec_max_cycle2,float64
data/processed/environmental/all_variables_compiled_from_gee_exports.csv,cycle_prec_mean_cycle1,float64
data/processed/environmental/all_variables_compiled_from_gee_exports.csv,cycle_prec_mean_cycle2,float64
data/processed/environmental/all_variables_compiled_from_gee_exports.csv,cycle_prec_min_cycle1,float64
data/processed/environmental/all_variables_compiled_from_gee_exports.csv,cycle_prec_min_cycle2,float64
data/processed/environmental/all_variables_compiled_from_gee_exports.csv,cycle_prec_sd_cycle1,float64
data/processed/environmental/all_variables_compiled_from_gee_exports.csv,cycle_prec_sd_cycle2,float64
data/processed/environmental/all_variables_compiled_from_gee_exports.csv,cycle_rad_mean_cycle1,float64
data/processed/environmental/all_variables_compiled_from_gee_exports.csv,cycle_rad_mean_cycle2,float64
data/processed/environmental/all_variables_compiled_from_gee_exports.csv,cycle_rad_sd_cycle1,float64
data/processed/environmental/all_variables_compiled_from_gee_exports.csv,cycle_rad_sd_cycle2,float64
data/processed/environmental/all_variables_compiled_from_gee_exports.csv,cycle_umid_mean_cycle1,float64
data/processed/environmental/all_variables_compiled_from_gee_exports.csv,cycle_umid_mean_cycle2,float64
data/processed/environmental/all_variables_compiled_from_gee_exports.csv,cycle_umid_sd_cycle1,float64
data/processed/environmental/all_variables_compiled_from_gee_exports.csv,cycle_umid_sd_cycle2,float64
data/processed/environmental/all_variables_compiled_from_gee_exports.csv,elevation_m,float64
data/processed/environmental/all_variables_compiled_from_gee_exports.csv,monthly_lst_max_cycle1,float64
data/processed/environmental/all_variables_compiled_from_gee_exports.csv,monthly_lst_max_cycle2,float64
data/processed/environmental/all_variables_compiled_from_gee_exports.csv,monthly_lst_mean_cycle1,float64
data/processed/environmental/all_variables_compiled_from_gee_exports.csv,monthly_lst_mean_cycle2,float64
data/processed/environmental/all_variables_compiled_from_gee_exports.csv,monthly_lst_min_cycle1,float64
data/processed/environmental/all_variables_compiled_from_gee_exports.csv,monthly_lst_min_cycle2,float64
data/processed/environmental/all_variables_compiled_from_gee_exports.csv,monthly_lst_sd_cycle1,float64
data/processed/environmental/all_variables_compiled_from_gee_exports.csv,monthly_lst_sd_cycle2,float64
data/processed/environmental/all_variables_compiled_from_gee_exports.csv,monthly_ndvi_max_cycle1,float64
data/processed/environmental/all_variables_compiled_from_gee_exports.csv,monthly_ndvi_max_cycle2,float64
data/processed/environmental/all_variables_compiled_from_gee_exports.csv,monthly_ndvi_mean_cycle1,float64
data/processed/environmental/all_variables_compiled_from_gee_exports.csv,monthly_ndvi_mean_cycle2,float64
data/processed/environmental/all_variables_compiled_from_gee_exports.csv,monthly_ndvi_min_cycle1,float64
data/processed/environmental/all_variables_compiled_from_gee_exports.csv,monthly_ndvi_min_cycle2,float64
data/processed/environmental/all_variables_compiled_from_gee_exports.csv,monthly_ndvi_sd_cycle1,float64
data/processed/environmental/all_variables_compiled_from_gee_exports.csv,monthly_ndvi_sd_cycle2,float64
data/processed/environmental/all_variables_compiled_from_gee_exports.csv,monthly_prec_max_cycle1,float64
data/processed/environmental/all_variables_compiled_from_gee_exports.csv,monthly_prec_max_cycle2,float64
data/processed/environmental/all_variables_compiled_from_gee_exports.csv,monthly_prec_mean_cycle1,float64
data/processed/environmental/all_variables_compiled_from_gee_exports.csv,monthly_prec_mean_cycle2,float64
data/processed/environmental/all_variables_compiled_from_gee_exports.csv,monthly_prec_min_cycle1,float64
data/processed/environmental/all_variables_compiled_from_gee_exports.csv,monthly_prec_min_cycle2,float64
data/processed/environmental/all_variables_compiled_from_gee_exports.csv,monthly_prec_sd_cycle1,float64
data/processed/environmental/all_variables_compiled_from_gee_exports.csv,monthly_prec_sd_cycle2,float64
data/processed/environmental/florestasc_cycle_mean_environmental_conditions.csv,UA,int64
data/processed/environmental/florestasc_cycle_mean_environmental_conditions.csv,Lat,float64
data/processed/environmental/florestasc_cycle_mean_environmental_conditions.csv,Long,float64
data/processed/environmental/florestasc_cycle_mean_environmental_conditions.csv,cycle,object
data/processed/environmental/florestasc_cycle_mean_environmental_conditions.csv,lst_max,float64
data/processed/environmental/florestasc_cycle_mean_environmental_conditions.csv,lst_mean,float64
data/processed/environmental/florestasc_cycle_mean_environmental_conditions.csv,lst_min,float64
data/processed/environmental/florestasc_cycle_mean_environmental_conditions.csv,lst_sd,float64
data/processed/environmental/florestasc_cycle_mean_environmental_conditions.csv,ndvi_max,float64
data/processed/environmental/florestasc_cycle_mean_environmental_conditions.csv,ndvi_mean,float64
data/processed/environmental/florestasc_cycle_mean_environmental_conditions.csv,ndvi_min,float64
data/processed/environmental/florestasc_cycle_mean_environmental_conditions.csv,ndvi_sd,float64
data/processed/environmental/florestasc_cycle_mean_environmental_conditions.csv,prec_max,float64
data/processed/environmental/florestasc_cycle_mean_environmental_conditions.csv,prec_mean,float64
data/processed/environmental/florestasc_cycle_mean_environmental_conditions.csv,prec_min,float64
data/processed/environmental/florestasc_cycle_mean_environmental_conditions.csv,prec_sd,float64
data/processed/environmental/florestasc_cycle_mean_environmental_conditions.csv,rad_mean,float64
data/processed/environmental/florestasc_cycle_mean_environmental_conditions.csv,rad_sd,float64
data/processed/environmental/florestasc_cycle_mean_environmental_conditions.csv,umid_mean,float64
data/processed/environmental/florestasc_cycle_mean_environmental_conditions.csv,umid_sd,float64
data/processed/environmental/florestasc_cycle_mean_environmental_conditions.csv,elevation_m,float64
data/processed/environmental/florestasc_intercycle_environmental_anomalies.csv,UA,int64
data/processed/environmental/florestasc_intercycle_environmental_anomalies.csv,Lat,float64
data/processed/environmental/florestasc_intercycle_environmental_anomalies.csv,Long,float64
data/processed/environmental/florestasc_intercycle_environmental_anomalies.csv,anom_lst_max,float64
data/processed/environmental/florestasc_intercycle_environmental_anomalies.csv,anom_lst_mean,float64
data/processed/environmental/florestasc_intercycle_environmental_anomalies.csv,anom_lst_min,float64
data/processed/environmental/florestasc_intercycle_environmental_anomalies.csv,anom_lst_sd,float64
data/processed/environmental/florestasc_intercycle_environmental_anomalies.csv,anom_ndvi_max,float64
data/processed/environmental/florestasc_intercycle_environmental_anomalies.csv,anom_ndvi_mean,float64
data/processed/environmental/florestasc_intercycle_environmental_anomalies.csv,anom_ndvi_min,float64
data/processed/environmental/florestasc_intercycle_environmental_anomalies.csv,anom_ndvi_sd,float64
data/processed/environmental/florestasc_intercycle_environmental_anomalies.csv,anom_prec_max,float64
data/processed/environmental/florestasc_intercycle_environmental_anomalies.csv,anom_prec_mean,float64
data/processed/environmental/florestasc_intercycle_environmental_anomalies.csv,anom_prec_min,float64
data/processed/environmental/florestasc_intercycle_environmental_anomalies.csv,anom_prec_sd,float64
data/processed/environmental/florestasc_intercycle_environmental_anomalies.csv,anom_rad_mean,float64
data/processed/environmental/florestasc_intercycle_environmental_anomalies.csv,anom_rad_sd,float64
data/processed/environmental/florestasc_intercycle_environmental_anomalies.csv,anom_umid_mean,float64
data/processed/environmental/florestasc_intercycle_environmental_anomalies.csv,anom_umid_sd,float64
data/processed/environmental/florestasc_intercycle_mean_anomalies.csv,UA,int64
data/processed/environmental/florestasc_intercycle_mean_anomalies.csv,Lat,float64
data/processed/environmental/florestasc_intercycle_mean_anomalies.csv,Long,float64
data/processed/environmental/florestasc_intercycle_mean_anomalies.csv,anom_lst_mean,float64
data/processed/environmental/florestasc_intercycle_mean_anomalies.csv,anom_ndvi_mean,float64
data/processed/environmental/florestasc_intercycle_mean_anomalies.csv,anom_prec_mean,float64
data/processed/environmental/florestasc_intercycle_mean_anomalies.csv,anom_rad_mean,float64
data/processed/environmental/florestasc_intercycle_mean_anomalies.csv,anom_umid_mean,float64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,Nome,object
data/processed/forest_inventory/first_cycle_species_by_plot.csv,Familia,object
data/processed/forest_inventory/first_cycle_species_by_plot.csv,912,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,576,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,994,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,860,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,456,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,351,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,1970,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,260,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,918,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,795,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,387,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,752,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,337,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,435,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,301,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,639,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,837,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,206,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,1019,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,218,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,1,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,21,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,718,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,345,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,165,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,311,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,750,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,723,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,743,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,1010,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,142,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,753,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,221,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,30,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,1073,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,430,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,811,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,365,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,991,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,1034,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,193,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,836,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,308,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,3309,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,123,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,464,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,495,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,939,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,383,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,450,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,328,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,949,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,941,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,1047,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,982,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,907,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,739,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,321,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,49,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,465,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,566,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,167,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,796,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,352,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,174,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,143,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,2425,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,522,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,1016,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,460,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,1536,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,951,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,192,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,287,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,317,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,551,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,217,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,147,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,77,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,148,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,146,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,28,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,367,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,913,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,309,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,494,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,409,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,582,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,281,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,58,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,742,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,513,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,69,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,15,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,686,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,717,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,27,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,1774,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,470,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,194,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,304,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,208,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,3082,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,70,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,59,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,384,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,571,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,318,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,97,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,517,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,887,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,992,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,1056,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,95,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,468,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,424,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,113,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,669,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,491,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,390,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,39,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,261,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,682,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,638,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,1074,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,934,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,285,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,955,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,974,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,1027,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,340,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,134,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,1026,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,41,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,747,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,427,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,1013,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,415,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,519,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,1072,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,425,int64
data/processed/forest_inventory/first_cycle_species_by_plot.csv,584,int64
