"term","estimate","std.error","statistic","p.value","sig"
"PD_ciclo1",-0.299813749875497,0.0896195064249873,-3.34540728726781,0.000935961258046231,"***"
"anom_ndvi_max_c1",0.190292321992621,0.0761069582873279,2.50032751636463,0.0129903133668283,"*"
"med_ndvi_min_c2",0.312397452946733,0.129726031477026,2.4081323493046,0.0166927187851617,"*"
"med_altitude_c1",-0.34228877384375,0.14963749433302,-2.28745325741677,0.0229288799405829,"*"
"delta_med_ndvi_max",0.145460099195604,0.0830158124992525,1.75219750089074,0.0808543978332142,""
"anom_lst_min_c2",-0.130047900456444,0.0792979170947695,-1.63999137960992,0.102150295746286,""
"MNTD_ciclo1",-0.125149391961403,0.0765047158828904,-1.63583892204731,0.103017279242646,""
"med_prec_min_c2",-0.206988965704582,0.133147133611955,-1.55458822198781,0.121194234580766,""
"anom_ndvi_min_c1",0.112272719132016,0.0874319453364952,1.28411553351487,0.200182324701817,""
"delta_med_ndvi_mean",-0.132355291850594,0.110512944852807,-1.19764514489121,0.232086452567106,""
"anom_lst_min_c1",-0.111693710640823,0.0981756370392989,-1.13769275157453,0.256239053519505,""
"med_prec_min_c1",0.134999045901728,0.125846999980277,1.07272359232152,0.284335592127397,""
"med_ndvi_min_c1",-0.218819479241302,0.230562761998334,-0.949066871617732,0.343419885384473,""
"anom_prec_max_c1",0.0919263819843739,0.102389485209321,0.897810764420228,0.370071799193521,""
"med_prec_max_c1",0.109234622872519,0.126535992347624,0.863269184094486,0.388741742867608,""
"anom_prec_sd_c2",-0.146437742766373,0.172811010671554,-0.847386646240347,0.397516520646291,""
"sorensen",-0.0436105036033506,0.061059144158478,-0.714233784380603,0.475688422292686,""
"med_lst_max_c1",-0.0974171455130945,0.159955267569861,-0.609027429937857,0.543009038636984,""
"med_prec_max_c2",-0.102949021372269,0.180252595051374,-0.571137526996088,0.568372867950059,""
"med_lst_sd_c1",0.0616030918222499,0.114643714506012,0.537343822883715,0.591464662088269,""
"anom_prec_max_c2",-0.0576647343767254,0.112308167130511,-0.513450943507202,0.60804817851786,""
"med_ndvi_max_c1",-0.102253477229742,0.207666765928113,-0.492392110854842,0.622835043247103,""
"anom_ndvi_min_c2",-0.0393476048155587,0.084853783008183,-0.463710672884958,0.64322186741447,""
"delta_med_lst_max",-0.0494878262703094,0.10733803258623,-0.46104651890795,0.645129650460303,""
"delta_med_prec_sd",0.0488045578332805,0.124872559284729,0.390834928929409,0.696221864313949,""
"anom_umid_sd_c1",0.0391274225515078,0.116774683666677,0.335067681820433,0.737829474591093,""
"med_ndvi_sd_c1",-0.0558049959386336,0.186925860933663,-0.298540799330265,0.765515898504173,""
"delta_med_lst_min",0.0260322198996632,0.0905846622905039,0.287379996143036,0.774037808574977,""
"delta_med_lst_sd",0.00990427042078702,0.10753453562748,0.0921031588874603,0.92668313643765,""
"MPD_ciclo1",0.00318165368905618,0.0683781037258582,0.0465303001354364,0.96292135597975,""
"delta_med_lst_mean",0.000990501232559206,0.0869084080769352,0.0113970702544956,0.99091491408862,""
"(Intercept)",-2.25681585886398e-16,0.0546525699177857,-4.12938652703601e-15,0.999999999999997,""
"delta_med_ndvi_min",NA,NA,NA,NA,""
"delta_med_prec_max",NA,NA,NA,NA,""
