"Variable","Estimate","Std_Error","t_value","p_value","Significance","Direction"
"PD_ciclo1",-0.3,0.09,-3.35,0.000936,"***","Negative"
"anom_ndvi_max_c1",0.19,0.076,2.5,0.013,"*","Positive"
"med_ndvi_min_c2",0.312,0.13,2.41,0.0167,"*","Positive"
"med_altitude_c1",-0.342,0.15,-2.29,0.0229,"*","Negative"
"delta_med_ndvi_max",0.145,0.083,1.75,0.0809,"","Positive"
"anom_lst_min_c2",-0.13,0.079,-1.64,0.102,"","Negative"
"MNTD_ciclo1",-0.125,0.077,-1.64,0.103,"","Negative"
"med_prec_min_c2",-0.207,0.133,-1.55,0.121,"","Negative"
"anom_ndvi_min_c1",0.112,0.087,1.28,0.2,"","Positive"
"delta_med_ndvi_mean",-0.132,0.111,-1.2,0.232,"","Negative"
"anom_lst_min_c1",-0.112,0.098,-1.14,0.256,"","Negative"
"med_prec_min_c1",0.135,0.126,1.07,0.284,"","Positive"
"med_ndvi_min_c1",-0.219,0.231,-0.95,0.343,"","Negative"
"anom_prec_max_c1",0.092,0.102,0.9,0.37,"","Positive"
"med_prec_max_c1",0.109,0.127,0.86,0.389,"","Positive"
"anom_prec_sd_c2",-0.146,0.173,-0.85,0.398,"","Negative"
"sorensen",-0.044,0.061,-0.71,0.476,"","Negative"
"med_lst_max_c1",-0.097,0.16,-0.61,0.543,"","Negative"
"med_prec_max_c2",-0.103,0.18,-0.57,0.568,"","Negative"
"med_lst_sd_c1",0.062,0.115,0.54,0.591,"","Positive"
"anom_prec_max_c2",-0.058,0.112,-0.51,0.608,"","Negative"
"med_ndvi_max_c1",-0.102,0.208,-0.49,0.623,"","Negative"
"anom_ndvi_min_c2",-0.039,0.085,-0.46,0.643,"","Negative"
"delta_med_lst_max",-0.049,0.107,-0.46,0.645,"","Negative"
"delta_med_prec_sd",0.049,0.125,0.39,0.696,"","Positive"
"anom_umid_sd_c1",0.039,0.117,0.34,0.738,"","Positive"
"med_ndvi_sd_c1",-0.056,0.187,-0.3,0.766,"","Negative"
"delta_med_lst_min",0.026,0.091,0.29,0.774,"","Positive"
"delta_med_lst_sd",0.01,0.108,0.09,0.927,"","Positive"
"MPD_ciclo1",0.003,0.068,0.05,0.963,"","Positive"
"delta_med_lst_mean",0.001,0.087,0.01,0.991,"","Positive"
"delta_med_ndvi_min",NA,NA,NA,NA,"",NA
"delta_med_prec_max",NA,NA,NA,NA,"",NA
