"","%IncMSE","IncNodePurity"
"med_altitude_c1",5.58198109622889,6.09112667385123
"med_lst_max_c1",5.93996866500798,7.21860924642213
"med_lst_sd_c1",1.00613622322243,5.56511615669662
"med_ndvi_max_c1",5.39397298656316,5.90850766577072
"med_ndvi_min_c1",2.39802768699853,5.79464922140109
"med_ndvi_sd_c1",1.13391739971441,5.5501192166808
"med_prec_max_c1",3.492463223535,6.72133201359898
"med_prec_min_c1",5.10663189730597,6.97519343771195
"med_ndvi_min_c2",4.37296774372326,5.41396615948502
"med_prec_max_c2",5.55559539533093,10.5521842481341
"med_prec_min_c2",4.3845865361383,7.65021743903757
"anom_lst_min_c1",3.21481412240966,6.27419873468738
"anom_ndvi_max_c1",6.3909460409145,9.16323334378168
"anom_ndvi_min_c1",1.97457223620685,4.79660470590292
"anom_prec_max_c1",4.21533264557934,5.32481535041036
"anom_umid_sd_c1",4.43249488225377,5.2963247166892
"anom_lst_min_c2",7.55751948435828,11.4720483052271
"anom_ndvi_min_c2",1.21754956378208,5.75355053492003
"anom_prec_max_c2",1.17042676521846,10.5562066215217
"anom_prec_sd_c2",5.45199951125085,10.8352368101303
"delta_med_lst_max",1.21992833584262,5.67371190299085
"delta_med_lst_mean",1.36055175293145,5.85161426951367
"delta_med_lst_min",0.918597562896178,6.71278664046408
"delta_med_lst_sd",1.13887204694668,4.82327111078004
"delta_med_ndvi_max",0.640227258540858,7.28725064948937
"delta_med_ndvi_mean",4.20955984445434,6.98985339935957
"delta_med_ndvi_min",0.872810832422286,9.50645505527725
"delta_med_prec_max",3.50938410621681,7.22808819035933
"delta_med_prec_sd",1.19263369514261,4.58341725347103
"PD_ciclo1",11.6553291056022,11.5617790666032
"MPD_ciclo1",7.57587052046662,17.7596255375689
"MNTD_ciclo1",0.64017500592855,5.9408397768952
"sorensen",8.1678283136004,54.9187579178424
